,Monocyte,NK,B,DC,T_cell
ext_183,0.19170360267162323,0.23971346020698547,0.1587616354227066,0.20924705266952515,0.20057420432567596
ext_184,0.2081669569015503,0.0034398832358419895,0.4284621477127075,0.3097456097602844,0.05018538609147072
ext_185,0.195578932762146,0.0,0.25575995445251465,0.228166863322258,0.32049426436424255
ext_186,0.11728185415267944,0.3962605595588684,0.10578803718090057,0.32417771220207214,0.05649186298251152
ext_187,0.32966503500938416,0.045219406485557556,0.10911985486745834,0.3279934227466583,0.18800224363803864
ext_188,0.2863427698612213,0.03771764412522316,0.20998261868953705,0.32690295577049255,0.13905400037765503
ext_189,0.3758700489997864,0.01201802957803011,0.34691157937049866,0.23069420456886292,0.03450613468885422
ext_190,0.05296114459633827,0.3297722339630127,0.18357698619365692,0.36356744170188904,0.07012224942445755
ext_191,0.11995650082826614,0.10644803941249847,0.2995833158493042,0.4538230001926422,0.020189113914966583
ext_192,0.27162638306617737,0.0018841177225112915,0.1909983605146408,0.30248841643333435,0.233002707362175
ext_193,0.10506745427846909,0.41633495688438416,0.06933131814002991,0.4088626801967621,0.0004035968449898064
ext_194,0.0,0.0,0.5236365795135498,0.25139275193214417,0.224970743060112
ext_195,0.48305732011795044,0.1062881350517273,0.05123686417937279,0.32132774591445923,0.03808992728590965
ext_196,0.08550135791301727,0.0007001705234870315,0.255204975605011,0.38640961050987244,0.27218395471572876
ext_197,0.09559761732816696,0.02802664041519165,0.1414511799812317,0.24047891795635223,0.4944456219673157
ext_198,0.0009055077098309994,0.08681946992874146,0.5119812488555908,0.2763523459434509,0.12394148111343384
ext_199,0.010171005502343178,0.367682546377182,0.21456514298915863,0.27880537509918213,0.12877601385116577
