scenario,score_name,retained_fraction,reject_high_mae,reject_low_mae,reject_high_delta_vs_all,reject_low_delta_vs_all
low_depth_high,max_interval_width,0.5,0.06695177138123563,0.09193931507507683,-0.01249377184692059,0.012493771846920604
low_depth_high,max_interval_width,0.25,0.06392423963290417,0.0933100707887426,-0.015521303595252056,0.01386452756058637
low_depth_high,mean_disagreement,0.9,0.08111466490426084,0.0810768914217479,0.0016691216761046124,0.0016313481935916752
low_depth_high,mean_disagreement,0.75,0.08249360293501393,0.08210973469870365,0.003048059706857703,0.0026641914705474307
low_depth_high,mean_disagreement,0.5,0.08298806819533074,0.0759030182609817,0.0035425249671745124,-0.0035425249671745263
low_depth_high,mean_disagreement,0.25,0.07145296881651396,0.07030136410758316,-0.007992574411642264,-0.009144179120573068
low_depth_high,max_disagreement,0.9,0.08109755898732433,0.0796581861400293,0.00165201575916811,0.00021264291187307605
low_depth_high,max_disagreement,0.75,0.08243299035530693,0.07966223132615255,0.002987447127150711,0.00021668809799632593
low_depth_high,max_disagreement,0.5,0.08411385279859038,0.0747772336577221,0.004668309570434154,-0.004668309570434126
low_depth_high,max_disagreement,0.25,0.07879547893416725,0.0704832018467041,-0.0006500642939889778,-0.008962341381452119
